n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
2321,10625,2833,750,3125
2331,7708,2708,625,10084
2341,9334,2708,625,10167
2351,9167,2958,625,10417
2361,9375,2583,625,8209
2371,10584,2667,667,11583
2381,9667,2625,625,10208
2391,8958,2583,667,12833
2401,9292,2750,708,10083
2411,9625,2667,667,8625
2421,9291,2583,708,6667
2431,9459,2875,958,5958
2441,9250,2667,750,11917
2451,9375,2542,625,11666
2461,10250,2584,666,3041
2471,9125,2792,708,13417
2481,27375,2541,666,8458
2491,9625,2958,750,8250
2501,8458,2750,708,10667
2511,9292,2500,667,10042
2521,8750,2541,709,15042
2531,9500,2792,708,12375
2541,9292,2583,666,10958
2551,9167,2791,709,15500
2561,8666,2958,709,9916
2571,10875,2667,667,13250
2581,9334,2500,667,7792
2591,8833,2834,708,11167
2601,9500,2500,583,7084
2611,9500,2708,667,10500
2621,9500,2875,667,6708
2631,9375,2667,709,6416
2641,9709,2625,667,12667
2651,9292,2667,667,8416
2661,9333,2500,666,6625
2671,9334,2667,625,4667
2681,8500,2541,666,18334
2691,9458,2917,667,6291
2701,10833,2625,709,10083
2711,8084,2625,625,9833
2721,9209,2542,625,4750
2731,10750,2583,625,11042
2741,9792,2583,667,9958
2751,9583,2667,625,9542
2761,9375,2750,708,9708
2771,19125,2667,667,16333
2781,9250,3042,583,12375
2791,9375,2792,708,11375
2801,9417,2666,625,11041
2811,9208,2875,667,11417
2821,8542,2791,709,8208
2831,27583,2792,708,10125
2841,10084,2625,667,3083
2851,9500,2791,792,13833
2861,9375,2625,667,13667
2871,9375,2625,625,10458
2881,9458,2583,667,16375
2891,9292,2667,750,15208
2901,11375,2709,708,11542
2911,9292,2709,625,4500
2921,9416,2667,709,9666
2931,9292,2666,666,8375
2941,9542,2791,666,8333
2951,9542,2709,708,10042
2961,9041,2792,667,10000
2971,9459,2750,708,16084
2981,9875,2667,750,8125
2991,9458,2583,625,10000
3001,9292,2791,667,12541
3011,9375,2750,708,9667
3021,9417,2792,625,16208
3031,8500,2792,875,13125
3041,8958,2500,625,11625
3051,9500,2834,708,8125
3061,9000,2583,667,11959
3071,9375,2708,708,8583
3081,8375,2666,667,14583
3091,10875,2625,625,16417
3101,9542,2708,667,10333
3111,9375,2792,667,8416
3121,9625,2875,666,11625
3131,9042,2541,666,13875
3141,9083,2417,750,11541
3151,9334,2584,625,11500
3161,9750,2667,667,13625
3171,8167,2708,667,10917
3181,9708,2667,709,7000
3191,9291,2917,666,8125
3201,8625,2708,667,11958
3211,9292,2541,667,10500
3221,11416,2834,666,13458
3231,9459,2750,833,8291
3241,9291,2833,709,13791
3251,9666,2750,667,13417
3261,9291,2625,667,25375
3271,9042,2667,667,10541
3281,10625,2583,708,12792
3291,9167,2541,625,8334
3301,9625,2750,666,6625
3311,9416,2708,667,8292
3321,8542,2666,666,15959
3331,9375,2875,666,10250
3341,9125,2583,625,13708
3351,10792,2709,791,15875
3361,9583,2666,8917,13708
3371,8500,2584,625,14458
3381,9125,2625,625,5000
3391,9166,2709,667,8375
3401,9625,2750,708,15959
3411,9417,2666,625,11125
3421,9084,2625,625,12750
3431,8541,2792,666,8375
3441,9250,2500,667,9917
3451,9208,2625,667,13625
3461,9042,2500,625,9625
3471,8708,2709,750,19208
3481,10833,2583,625,16834
3491,9416,2500,667,14667
3501,9792,2875,625,8625
3511,9000,2667,708,11167
3521,8875,2792,709,12958
3531,9625,2792,750,10875
3541,10792,2833,833,7208
3551,9750,2791,750,7084
3561,9500,2833,709,13333
3571,8708,2917,666,12459
3581,9459,2583,667,15541
3591,9500,2750,667,8208
3601,9375,2833,708,12750
3611,9833,2709,625,7041
